Model Name,Brand,Series,Processor (ชิป),RAM (หน่วยความจำ),Storage (ความจุ),Display (จอ),ราคาเครื่องจัด (฿),ราคาท็อปมือสอง (฿),In-Store,Pickup,Mail-in,Condition Item
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,512GB,Standard Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,512GB,Nano-texture Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,1TB,Standard Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,1TB,Nano-texture Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,2TB,Standard Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",24GB,2TB,Nano-texture Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",48GB,512GB,Standard Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",48GB,512GB,Nano-texture Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",48GB,1TB,Standard Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
"MacBook Pro 14"" (ชิป M5 Pro, 2026)",Apple,"MacBook Pro 14""","M5 Pro (15-core CPU, 20-core GPU)",48GB,1TB,Nano-texture Glass,0,0,Y,Y,Y,มาตรฐานการตรวจ Mac / MacBook (Full Option)
